,Freq (GHz),amp 0.1,amp 0.15,amp 0.2,amp 0.25,amp 0.3,amp 0.35,amp 0.4,amp 0.44999999999999996,amp 0.5,amp 0.5499999999999999,amp 0.6,amp 0.6499999999999999,amp 0.7,amp 0.7499999999999999,amp 0.7999999999999999,amp 0.8499999999999999,amp 0.8999999999999999,amp 0.95,amp 0.9999999999999999
11,4.967425334316886,(0.48690328764416-1.49741031653376j),(0.57011995672576-1.73779980386304j),(-0.0476444360704-1.06712858099712j),(0.68119494131712-1.40047659565056j),(0.36545436319744-1.74956633653248j),(0.47656923561984-1.53630845960192j),(0.76753632493568-1.58086052446208j),(0.57578977492992-1.6386550136832j),(0.64695918657536-1.55266859401216j),(0.82026963140608-1.5589172681113599j),(0.69041897078784-1.46069220491264j),(1.04197743706112-1.5175134478336j),(0.6498474262528-1.69986786066432j),(0.82417545117696-1.61763551084544j),(0.39268726603776-1.7161347137536j),(0.57507498164224-1.73857726005248j),(0.69437319282688-1.6300122308608j),(0.8804527767552-1.48066548056064j),(0.19264759136256-1.6454682411008j)
12,4.967695604587156,(0.59220787462144-1.5853445709824j),(0.48998714966016-1.68793959563264j),(-0.00708213014528-1.15889072504832j),(0.75405172146176-1.50167474929664j),(0.40037920014336-1.62039267852288j),(0.48348354576384-1.7512242610176j),(0.74464029048832-1.60580707024896j),(0.7902827905024-1.4518581618278399j),(0.83801111789568-1.59107499687936j),(0.71154580586496-1.44473908576256j),(0.68105824894976-1.39179438637056j),(0.99946707550208-1.58403192160256j),(0.69765796200448-1.64919479631872j),(0.75104138559488-1.74158625374208j),(0.51819015307264-1.84104058355712j),(0.601053200384-1.80110896398336j),(0.43051628101632-1.8609984241664j),(0.8587862605824-1.51088594419712j),(0.61064364425216-1.57632748847104j)
13,4.967965874857427,(0.5542137298944-1.4982590758912j),(0.60045538623488-1.61210372718592j),(-0.01332699725824-1.04941377028096j),(0.79782842728448-1.549904379904j),(0.4148317650944-1.64466645794816j),(0.43626222583808-1.69934223048704j),(0.66450387632128-1.57407481167872j),(0.65630447337472-1.58824317059072j),(0.63137533394944-1.53937197924352j),(0.72109992706048-1.4526476976128j),(0.51251127517184-1.32806193709056j),(1.01144558829568-1.5779315580928j),(0.9082433961984-1.74831207186432j),(0.7616612794368-1.65331041517568j),(0.42854344818688-1.86686222893056j),(0.62093122338816-1.6738703900672j),(0.56517105549312-1.67720217739264j),(0.94374172033024-1.49371479916544j),(0.15262315184128-1.60420266508288j)
14,4.968236145127697,(0.44475816607744-1.53124341809152j),(0.4574878367744-1.70315216846848j),(-0.25233429889024-1.12067474358272j),(0.77678937899008-1.42432876363776j),(0.56885566767104-1.64084158824448j),(0.4088972443648-1.70543470870528j),(0.62232826216448-1.47020455084032j),(0.60482127921152-1.55748449386496j),(0.44121628606464-1.40823706468352j),(0.71985858084864-1.4296335515648j),(0.56299404394496-1.45586439323648j),(0.96185851314176-1.5571823362048j),(0.86473940402176-1.6092613312512j),(0.77780398112768-1.68712539734016j),(0.39390109761536-1.78196465057792j),(0.55996105883648-1.63163844640768j),(0.57957756698624-1.62422711123968j),(0.79204574035968-1.41743030796288j),(0.23552738721792-1.51284032208896j)
15,4.968506415397967,(0.49340215197696-1.57433485852672j),(0.44109024722944-1.7242330759168j),(0.05214288478208-1.06619971043328j),(0.79388544598016-1.56427708530688j),(0.46638974369792-1.64719998533632j),(0.3677920165888-1.70171788427264j),(0.63260887875584-1.60441221251072j),(0.45703892041728-1.55258319798272j),(0.39251777421312-1.47102411784192j),(0.69233803264-1.36137855205376j),(0.48905198764032-1.44122459455488j),(0.79775016157184-1.57256855322624j),(0.63413250162688-1.66576145825792j),(0.7749643534336-1.62582698655744j),(0.3570885722112-1.87265405943808j),(0.61013336522752-1.59404758401024j),(0.4053685764096-1.76157982982144j),(0.709428772864-1.3891698425856j),(0.1018481344512-1.67462502924288j)
16,4.968776685668238,(0.61339204583424-1.60768813170688j),(0.27652708630528-1.70301560193024j),(-0.16333181812736-1.06413074415616j),(0.64017309630464-1.51052372410368j),(0.51915589156864-1.73163535138816j),(0.58410544398336-1.5901420158976j),(0.58033002512384-1.46534284918784j),(0.36993148911616-1.64894397693952j),(0.28639349440512-1.28222045929472j),(0.503679287296-1.33595905654784j),(0.46964053901312-1.40922440384512j),(0.87777563639808-1.53471613403136j),(0.54299916763136-1.5523991519232j),(0.7465596878848-1.62669487194112j),(0.33957460574208-1.71314216173568j),(0.62000231088128-1.49925681692672j),(0.41326955462656-1.65401572933632j),(0.58069639757824-1.3777361698816j),(-0.012575271813119999-1.36676898766848j)
17,4.969046955938508,(0.58205136748544-1.55647400214528j),(0.65665977286656-1.60721534976j),(0.04891994488832-1.13210984235008j),(0.87885927677952-1.48134059573248j),(0.26620635119616-1.62139427831808j),(0.30767199551488-1.61718302932992j),(0.54363091369984-1.57340607184896j),(0.25277814013952-1.42479953231872j),(0.37582591229952-1.48848198549504j),(0.48407083220992-1.30396264071168j),(0.47747461808128-1.33576536358912j),(0.73091862495232-1.38153394438144j),(0.639871483904-1.58723049783296j),(0.70773402238976-1.62416419667968j),(0.31331306176512-1.71158339059712j),(0.71615240994816-1.55031324065792j),(0.23191697227776-1.63531165007872j),(0.4660928708608-1.35284029128704j),(-0.25312100352-1.44968769339392j)
18,4.969317226208778,(0.49606289260544-1.47902852759552j),(0.5397580611584-1.69734976831488j),(0.02329940066304-1.08566488809472j),(0.67991676911616-1.44187118845952j),(0.31721391128576-1.64464246652928j),(0.57748230242304-1.60551514669056j),(0.60586507370496-1.56283055374336j),(0.2740697694208-1.48735455657984j),(0.36937800876032-1.38402561261568j),(0.36681386295296-1.34211428155392j),(0.3107071197184-1.36590538047488j),(0.91413370896384-1.48635245346816j),(0.74614159966208-1.45482152148992j),(0.76686783676416-1.65046650929152j),(0.41637459787776-1.71857680531456j),(0.46073154371584-1.59341961281536j),(0.47643338211328-1.52029494247424j),(0.5536361742336-1.28131490906112j),(-0.15862807396352-1.20166666993664j)
19,4.969587496479049,(0.50853134204928-1.5784189362176j),(0.63147750719488-1.64387557998592j),(-0.10964816625664-1.18094932475904j),(0.7835979087872-1.50005105033216j),(0.4118944940032-1.66954891476992j),(0.48056116445184-1.69030233096192j),(0.5449705324544-1.4328556158976j),(0.40438572515328-1.55990745939968j),(0.43100638543872-1.34055718813696j),(0.42094177550336-1.35673101156352j),(0.19241522692096-1.32311441997824j),(0.82913982939136-1.53649720328192j),(0.6762457464832-1.68572819079168j),(0.84541138010112-1.66154366615552j),(0.26770780717056-1.9329877803008j),(0.5895234781184-1.72635589705728j),(0.48818225676288-1.69977223053312j),(0.57988341563392-1.37699268755456j),(0.12113169874944-1.33263389622272j)
20,4.969857766749319,(0.59637881634816-1.47302916292608j),(0.42356711620608-1.70223277703168j),(0.01696102612992-1.10210689531904j),(0.74092489211904-1.54217796861952j),(0.54957856260096-1.80520612790272j),(0.48831257378816-1.72778363813888j),(0.58534758711296-1.4746199785472j),(0.24030472044544-1.40372214808576j),(0.21737989210112-1.34512050700288j),(0.45851833532416-1.36612222599168j),(0.15632612458496-1.31050894262272j),(0.79029688336384-1.52123429879808j),(0.6299282571264-1.67352175951872j),(0.77704497987584-1.73610446618624j),(0.42215233552384-1.93317383962624j),(0.6906179485696-1.63314655035392j),(0.600654741504-1.76523273306112j),(0.75387849670656-1.43316448444416j),(0.02019397861376-1.58435018539008j)
